fileName,description,sampleLane,date,category,treatment,replicate
BD_09,siRED_1,G33764,1/10/13,control,red,1
BD_10,siScr_1,G33764,1/10/13,control,scrambled,1
BD_11,siScr_2,G33764,1/10/13,control,scrambled,2
BD_12,siTDP43_1,G33764,1/10/13,ALS,als,1
BD_13,siTDP43_2,G33764,1/10/13,ALS,als,2
BD_19,NoTx_1,G33765,1/10/13,control,none,1
BD_20,NoTx_2,G38774,6/10/13,control,none,2
BD_21,siRED_2,G38774,6/10/13,control,red,2
BD_22,siScr_3,G38774,6/10/13,control,scrambled,3
BD_23,siScr_4,G38774,6/10/13,control,scrambled,4
BD_24,siTDP43_3,G38774,6/10/13,ALS,als,3
BD_25,siTDP43_4,G38774,6/10/13,ALS,als,4
BD_30,NoTx_3,G38775,6/10/13,control,none,3
BD_31,siRED_3,G38775,6/10/13,control,red,3
BD_32,siScr_5,G38775,6/10/13,control,scrambled,5
BD_33,siScr_6,G38775,6/10/13,control,scrambled,6
BD_34,siTDP43_5,G38775,6/10/13,ALS,als,5
BD_35,siTDP43_6,G38775,6/10/13,ALS,als,6
